iter	RMSE
0	0.3746932483
1	0.354008514
2	0.3332617717
3	0.3153121208
4	0.2998376899
5	0.2856201516
6	0.2733756489
7	0.262898326
8	0.2523328499
9	0.2425632704
10	0.2328381322
11	0.224217316
12	0.2163014103
13	0.2095260891
14	0.2025666228
15	0.1960889793
16	0.1914728001
17	0.1869387134
18	0.1825085471
19	0.178418388
20	0.1736793292
21	0.1703136772
22	0.166939886
23	0.1643363065
24	0.1617046961
25	0.1584226603
26	0.1563450751
27	0.1539328961
28	0.151829751
29	0.1496573354
30	0.1478816065
31	0.1460252194
32	0.1441294249
33	0.1425352158
34	0.1409004927
35	0.1393740817
36	0.1378248526
37	0.1366001307
38	0.1355125839
39	0.1343661082
40	0.1333539037
41	0.1322253246
42	0.130879476
43	0.1299891574
44	0.1290798863
45	0.1280308533
46	0.1269792751
47	0.1260906749
48	0.1252498857
49	0.1246000919
50	0.1241133776
51	0.1233628267
52	0.122420223
53	0.1213920509
54	0.1205883734
55	0.1199304185
56	0.1193398963
57	0.1189007013
58	0.1182259986
59	0.1173734934
60	0.1171303752
61	0.1165208152
62	0.1159619034
63	0.1155755004
64	0.1151455787
65	0.1147895223
66	0.1142031463
67	0.1138084704
68	0.1131874111
69	0.11274271
70	0.112188405
71	0.1114948787
72	0.1110291407
73	0.1104196312
74	0.1103356368
75	0.1102445111
76	0.1101080199
77	0.1094546915
78	0.1093940762
79	0.1091883927
80	0.1088481601
81	0.1081621186
82	0.1080716951
83	0.1080174364
84	0.1075859607
85	0.1075015364
86	0.1074088609
87	0.1072892361
88	0.1072325251
89	0.1071703431
90	0.1070444925
91	0.106922407
92	0.1068723571
93	0.1068156922
94	0.1067649582
95	0.1067110138
96	0.1066616304
97	0.106138313
98	0.1056480024
99	0.1055855515
100	0.1047480939
101	0.1046321006
102	0.1042949375
103	0.1040361888
104	0.1037311223
105	0.1036392554
106	0.1031174351
107	0.1025867412
108	0.1024996481
109	0.1017937723
110	0.1017088271
111	0.1016560458
112	0.1015720472
113	0.1015214842
114	0.1014366654
115	0.101387564
116	0.1013526312
117	0.1008832875
118	0.1004516096
119	0.100415507
120	0.100069833
121	0.099975837
122	0.09993275537
123	0.09961607584
124	0.09957534922
125	0.09913869927
126	0.09865902831
127	0.0986260744
128	0.09843501094
129	0.09797806949
130	0.0973699264
131	0.09734144331
132	0.09727728586
133	0.09723870902
134	0.09680310207
135	0.09677268602
136	0.09658246684
137	0.09655413164
138	0.09601436646
139	0.0959789852
140	0.09594548624
141	0.09561138796
142	0.09557633721
143	0.09535538843
144	0.09473250373
145	0.09445032455
146	0.0944253043
147	0.09438766025
148	0.09433654736
149	0.09430379278
150	0.09426654371
151	0.09386732971
152	0.09346102101
153	0.09343177539
154	0.09338257945
155	0.09336028823
156	0.09333092732
157	0.09302924949
158	0.09253348493
159	0.09243916042
160	0.09196354445
161	0.0919360389
162	0.09190985837
163	0.09186482214
164	0.091485705
165	0.09125470806
166	0.09121510355
167	0.09083044847
168	0.09080550081
169	0.0907576441
170	0.0907267748
171	0.0907017907
172	0.09033971815
173	0.09030417996
174	0.08980360454
175	0.08951295435
176	0.08921600154
177	0.08886657786
178	0.08850825126
179	0.08804788184
180	0.08775226449
181	0.08758532986
182	0.08757017654
183	0.08720998447
184	0.08679547219
185	0.08668632581
186	0.086431403
187	0.0864144459
188	0.08609858577
189	0.08579849674
190	0.08545949022
191	0.08513035499
192	0.08484780815
193	0.08458235295
194	0.08455696787
195	0.08423801077
196	0.0839473396
197	0.08367968352
198	0.08366191677
199	0.08364216628
200	0.08328174193
201	0.08285940626
202	0.08269663812
203	0.08227040726
204	0.08206350099
205	0.0817560864
206	0.08174118825
207	0.08172693041
208	0.08136235893
209	0.0810139568
210	0.08090352983
211	0.08063889121
212	0.08055176993
213	0.0803658123
214	0.08035035623
215	0.08033749796
216	0.0800414927
217	0.07996412263
218	0.07965709247
219	0.0796422506
220	0.07960777033
221	0.07929307435
222	0.07927922522
223	0.07889658883
224	0.07861995001
225	0.07835590547
226	0.07834449367
227	0.07807125562
228	0.07777035601
229	0.07772758103
230	0.07754885344
231	0.07746550724
232	0.0771617743
233	0.07692930774
234	0.07670610249
235	0.07652090173
236	0.07633555202
237	0.07610326913
238	0.07588777381
239	0.07570148148
240	0.07569169896
241	0.07556246106
242	0.07553160692
243	0.07545088508
244	0.07520736565
245	0.07498917684
246	0.0749286846
247	0.07491970631
248	0.074642846
249	0.07431548556
250	0.07430688619
251	0.07412971898
252	0.07386653964
253	0.07384910171
254	0.07384095725
255	0.07372111423
256	0.07355538506
257	0.07354707883
258	0.07340214454
259	0.07339426574
260	0.07305754258
261	0.07288520075
262	0.07254568868
263	0.07253781485
264	0.07252999302
265	0.07230425866
266	0.07197854637
267	0.07179520449
268	0.07157279326
269	0.07135496622
270	0.07134770884
271	0.07125415602
272	0.07113924999
273	0.07090849044
274	0.07077485535
275	0.07062312694
276	0.07046637092
277	0.07039767384
278	0.07028836061
279	0.07014533561
280	0.06993479433
281	0.06971639481
282	0.06945933074
283	0.06942292965
284	0.06933970465
285	0.06911690453
286	0.06904739702
287	0.0689915842
288	0.06896420017
289	0.06881080209
290	0.06852616706
291	0.06822919437
292	0.06815588156
293	0.06800187833
294	0.06785697047
295	0.06775794941
