iter	Passed	Remaining
410	767	1099
411	768	1096
412	770	1094
413	772	1093
414	774	1091
415	775	1089
416	777	1086
417	778	1084
418	780	1082
419	781	1079
420	783	1077
421	785	1076
422	787	1074
423	789	1072
424	791	1070
425	793	1069
426	795	1066
427	796	1064
428	798	1062
429	799	1059
430	800	1057
431	803	1055
432	804	1053
433	806	1051
434	807	1048
435	808	1046
436	811	1045
437	812	1042
438	813	1040
439	815	1037
440	816	1035
441	819	1034
442	821	1032
443	823	1031
444	824	1028
445	827	1027
446	828	1025
447	829	1022
448	831	1020
449	833	1018
450	835	1016
451	837	1015
452	839	1013
453	840	1011
454	843	1010
455	845	1008
456	846	1005
457	848	1003
458	849	1001
459	851	999
460	852	997
461	854	995
462	856	993
463	858	991
464	859	988
465	860	986
466	862	984
467	864	982
468	866	981
469	868	978
470	869	976
471	870	974
472	872	971
473	873	969
474	874	966
475	876	964
476	877	961
477	878	959
478	880	957
479	881	955
480	882	952
481	884	950
482	886	948
483	887	946
484	889	944
485	890	941
486	891	939
487	893	936
488	894	934
489	895	932
490	897	930
491	898	927
492	899	925
493	901	923
494	902	920
495	904	918
496	905	916
497	906	913
498	907	911
499	909	909
500	910	907
501	912	904
502	913	902
503	915	900
504	916	898
505	920	898
506	921	896
507	923	894
508	924	891
509	925	889
510	927	887
511	929	885
512	930	883
513	931	880
514	932	878
515	933	875
516	935	873
517	936	871
518	939	870
519	940	868
520	942	866
521	944	864
522	945	862
523	948	861
524	950	859
525	951	857
526	954	856
527	956	854
528	957	852
529	959	850
530	960	848
531	961	846
532	963	844
533	965	842
534	967	840
535	968	838
536	970	836
537	971	834
538	973	832
539	974	830
540	976	828
541	978	826
542	979	824
543	981	822
544	983	820
545	984	818
546	985	816
547	987	814
548	988	812
549	989	809
550	991	807
551	992	805
552	993	803
553	994	801
554	996	798
555	997	796
556	999	794
557	1000	792
558	1001	790
559	1003	788
560	1007	788
561	1008	786
562	1010	784
563	1012	782
564	1014	781
565	1016	779
566	1018	777
567	1020	775
568	1021	774
569	1023	771
570	1024	769
571	1025	767
572	1027	765
573	1028	763
574	1030	761
575	1032	759
576	1033	757
577	1034	755
578	1036	753
579	1038	751
580	1039	749
581	1041	747
582	1043	746
583	1046	745
584	1048	743
585	1049	741
586	1051	739
587	1052	737
588	1054	735
589	1055	733
590	1056	731
591	1058	729
592	1059	727
593	1061	725
594	1062	723
595	1064	721
596	1066	719
597	1067	717
598	1069	716
599	1071	714
600	1073	712
601	1075	711
602	1077	709
603	1079	707
604	1080	705
605	1082	703
606	1083	701
607	1085	699
608	1086	697
609	1088	695
610	1089	693
611	1090	691
612	1091	689
613	1092	687
614	1094	685
615	1095	683
616	1097	681
617	1098	679
618	1100	677
619	1102	675
620	1104	674
621	1106	672
622	1107	670
623	1109	668
624	1112	667
625	1113	665
626	1115	663
627	1116	661
628	1117	659
629	1120	657
630	1121	655
631	1123	654
632	1125	652
633	1126	650
634	1128	648
635	1130	646
636	1131	644
637	1132	642
638	1134	640
639	1135	638
640	1137	637
641	1139	635
642	1140	633
643	1142	631
644	1146	630
645	1148	629
646	1149	627
647	1151	625
648	1152	623
649	1154	621
650	1155	619
651	1156	617
652	1158	615
653	1159	613
654	1161	611
655	1162	609
656	1164	607
657	1166	606
658	1168	604
659	1173	604
660	1175	602
661	1177	601
662	1178	599
663	1179	596
664	1180	594
665	1182	593
666	1184	591
667	1185	589
668	1187	587
669	1188	585
670	1190	583
671	1191	581
672	1193	579
673	1195	578
674	1197	576
675	1199	574
676	1201	573
677	1203	571
678	1208	571
679	1211	570
680	1213	568
681	1215	566
682	1217	565
683	1219	563
684	1220	561
685	1222	559
686	1224	557
687	1225	555
688	1227	553
689	1229	552
690	1230	550
691	1232	548
692	1234	546
693	1235	544
694	1237	543
695	1239	541
696	1242	539
697	1243	538
698	1245	536
699	1246	534
700	1248	532
701	1250	530
702	1251	528
703	1252	526
704	1254	524
705	1255	522
706	1256	520
707	1259	519
708	1261	517
709	1263	515
710	1265	514
711	1267	512
712	1268	510
713	1272	509
714	1276	508
715	1277	506
716	1278	504
717	1280	502
718	1281	500
719	1283	499
720	1285	497
721	1287	495
722	1288	493
723	1290	491
724	1291	489
725	1293	488
726	1294	486
727	1296	484
728	1297	482
729	1299	480
730	1301	478
731	1304	477
732	1306	475
733	1307	473
734	1309	471
735	1310	470
736	1312	468
737	1314	466
738	1315	464
739	1316	462
740	1318	460
741	1319	458
742	1321	456
743	1323	455
744	1324	453
745	1325	451
746	1327	449
747	1328	447
748	1330	445
749	1332	444
750	1334	442
751	1337	441
752	1339	439
753	1341	437
754	1343	435
755	1344	434
756	1346	432
757	1348	430
758	1356	430
759	1358	428
760	1359	427
761	1361	425
762	1363	423
763	1364	421
764	1366	419
765	1368	418
766	1369	416
767	1371	414
768	1372	412
769	1374	410
770	1375	408
771	1376	406
772	1378	404
773	1379	402
774	1380	400
775	1382	399
776	1383	397
777	1384	395
778	1386	393
779	1387	391
780	1389	389
781	1390	387
782	1392	385
783	1393	383
784	1395	382
785	1396	380
786	1398	378
787	1401	376
788	1402	375
789	1404	373
790	1405	371
791	1406	369
792	1408	367
793	1409	365
794	1410	363
795	1412	361
796	1413	360
797	1415	358
798	1416	356
799	1418	354
800	1419	352
801	1421	350
802	1423	349
803	1425	347
804	1426	345
805	1428	343
806	1430	342
807	1431	340
808	1433	338
809	1435	336
810	1437	334
811	1438	333
812	1439	331
813	1440	329
814	1443	327
815	1444	325
816	1446	323
817	1447	322
818	1448	320
819	1450	318
820	1451	316
821	1452	314
822	1454	312
823	1456	311
824	1458	309
825	1459	307
826	1463	306
827	1465	304
828	1468	302
829	1469	301
830	1471	299
831	1472	297
832	1475	295
833	1476	293
834	1478	292
835	1480	290
836	1481	288
837	1482	286
838	1483	284
839	1486	283
840	1487	281
841	1489	279
842	1491	277
843	1492	275
844	1494	274
845	1497	272
846	1500	270
847	1501	269
848	1503	267
849	1505	265
850	1507	263
851	1510	262
852	1511	260
853	1512	258
854	1514	256
855	1516	255
856	1518	253
857	1520	251
858	1521	249
859	1523	248
860	1525	246
861	1527	244
862	1529	242
863	1531	241
864	1532	239
865	1533	237
866	1535	235
867	1536	233
868	1538	231
869	1540	230
870	1541	228
871	1543	226
872	1544	224
873	1546	222
874	1548	221
875	1550	219
876	1551	217
877	1553	215
878	1554	214
879	1556	212
880	1559	210
881	1560	208
882	1563	207
883	1564	205
884	1565	203
885	1567	201
886	1568	199
887	1569	197
888	1571	196
889	1573	194
890	1574	192
891	1575	190
892	1577	188
893	1578	187
894	1580	185
895	1583	183
896	1587	182
897	1589	180
898	1592	178
899	1593	177
900	1595	175
901	1596	173
902	1598	171
903	1599	169
904	1600	168
905	1602	166
906	1603	164
907	1605	162
908	1607	160
909	1608	159
910	1609	157
911	1610	155
912	1612	153
913	1613	151
914	1615	150
915	1616	148
916	1617	146
917	1619	144
918	1621	142
919	1623	141
920	1624	139
921	1626	137
922	1628	135
923	1630	134
924	1631	132
925	1633	130
926	1635	128
927	1637	127
928	1638	125
929	1639	123
930	1641	121
931	1642	119
932	1643	118
933	1645	116
934	1646	114
935	1648	112
936	1650	110
937	1652	109
938	1654	107
939	1655	105
940	1657	103
941	1658	102
942	1660	100
943	1662	98
944	1663	96
945	1665	95
946	1667	93
947	1668	91
948	1670	89
949	1672	88
950	1673	86
951	1674	84
952	1676	82
953	1677	80
954	1679	79
955	1680	77
956	1682	75
957	1683	73
958	1685	72
959	1687	70
960	1688	68
961	1690	66
962	1692	65
963	1694	63
964	1695	61
965	1697	59
966	1699	57
967	1700	56
968	1701	54
969	1703	52
970	1704	50
971	1705	49
972	1707	47
973	1709	45
974	1710	43
975	1711	42
976	1713	40
977	1714	38
978	1716	36
979	1718	35
980	1719	33
981	1721	31
982	1722	29
983	1724	28
984	1726	26
985	1727	24
986	1729	22
987	1730	21
988	1732	19
989	1733	17
990	1735	15
991	1736	14
992	1737	12
993	1739	10
994	1741	8
995	1742	6
996	1744	5
997	1745	3
998	1747	1
999	1748	0
